Gene,Sign,locus
dcuA,+,b4138
aspA,+,b4139
dcuA,-,b4138
aspA,-,b4139
dcuA,-,b4138
aspA,-,b4139
dcuA,-,b4138
aspA,-,b4139
aspC,-,b0928
aspC,+,b0928
aspC,-,b0928
aspV,+,b0216
asr,+,b1597
asr,+,b1597
asr,-,b1597
asr,+,b1597
asr,+,b1597
asr,+,b1597
asr,+,b1597
asr,-,b1597
asr,+,b1597
asr,+,b1597
astE,+,b1744
astB,+,b1745
astD,+,b1746
astA,+,b1747
astC,+,b1748
astE,+,b1744
astB,+,b1745
astD,+,b1746
astA,+,b1747
astC,+,b1748
astE,+,b1744
astB,+,b1745
astD,+,b1746
astA,+,b1747
astC,+,b1748
astE,+,b1744
astB,+,b1745
astD,+,b1746
astA,+,b1747
astC,+,b1748
astE,+,b1744
astB,+,b1745
astD,+,b1746
astA,+,b1747
astC,+,b1748
astE,+,b1744
astB,+,b1745
astD,+,b1746
astA,+,b1747
astC,+,b1748
astE,+,b1744
astB,+,b1745
astD,+,b1746
astA,+,b1747
astC,+,b1748
atoB,+,b2224
atoD,+,b2221
atoA,+,b2222
atoE,+,b2223
atoB,+,b2224
atoD,+,b2221
atoA,+,b2222
atoE,+,b2223
atoB,+,b2224
atoD,+,b2221
atoA,+,b2222
atoE,+,b2223
atoB,+,b2224
atoD,+,b2221
atoA,+,b2222
atoE,+,b2223
avtA,-,b3572
azuR,-,b4434
azuC,-,b4663
azuR,-,b4434
azuC,-,b4663
bacA,+,b3057
bamE,-,b2617
bamE,-,b2617
bcsZ,+,b3531
bcsB,+,b3532
bdcA,-,b4249
sra,+,b1480
bdm,+,b1481
betA,-,b0311
betB,-,b0312
betI,-,b0313
betA,-,b0311
betB,-,b0312
betI,-,b0313
betA,+,b0311
betB,+,b0312
betI,+,b0313
betA,-,b0311
betB,-,b0312
betI,-,b0313
betT,-,b0314
betT,-,b0314
betT,+,b0314
betT,-,b0314
bglG,+,b3723
bglB,+,b3721
bglF,+,b3722
bglG,-,b3723
bglB,-,b3721
bglF,-,b3722
bglG,-,b3723
bglB,-,b3721
bglF,-,b3722
bglG,-,b3723
bglB,-,b3721
bglF,-,b3722
bglG,+,b3723
bglB,+,b3721
bglF,+,b3722
bglG,+,b3723
bglB,+,b3721
bglF,+,b3722
bglG,-,b3723
