Gene,Sign,locus
rhaA,+,b3903
rhaB,+,b3904
rhaS,+,b3905
rhaR,+,b3906
rhaS,+,b3905
rhaR,+,b3906
rhaS,+,b3905
rhaR,+,b3906
rhaS,+,b3905
rhaR,+,b3906
rhaT,+,b3907
rmf,+,b0953
rpsI,-,b3230
rplM,-,b3231
rpoH,-,b3461
rpoH,-,b3461
rpoH,-,b3461
rpoH,-,b3461
rpoH,-,b3461
rpoH,+,b3461
rpoH,+,b3461
rpoH,+,b3461
rpoH,-,b3461
rpoS,-,b2741
rpoS,-,b2741
rpsF,+,b4200
priB,+,b4201
rpsR,+,b4202
rplI,+,b4203
rseD,+,b4725
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rpoE,+,b2573
rseD,+,b4725
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rpoE,+,b2573
rspA,+,b1581
rspB,+,b1580
sbmC,+,b2009
b0725,+,b0725
sdhX,+,b4764
sdhC,+,b0721
sdhD,+,b0722
sdhA,+,b0723
sdhB,+,b0724
sucA,+,b0726
sucB,+,b0727
sucC,+,b0728
sucD,+,b0729
sdhB,+,b0724
sdhA,+,b0723
sdhD,+,b0722
secB,+,b3609
gpsA,+,b3608
serA,+,b2913
serC,-,b0907
aroA,-,b0908
dksA,+,b0145
sfsA,+,b0146
sodA,+,b3908
sodB,-,b1656
sohB,-,b1272
sohB,-,b1272
sohB,-,b1272
speC,-,b2965
spfP,-,b4837
spf,-,b3864
srlA,+,b2702
srlE,+,b2703
srlB,+,b2704
srlD,+,b2705
gutM,+,b2706
srlR,+,b2707
gutQ,+,b2708
srlA,+,b2702
srlE,+,b2703
srlB,+,b2704
srlD,+,b2705
gutM,+,b2706
srlR,+,b2707
gutQ,+,b2708
sxy,+,b0959
tdcG,+,b4471
tdcF,+,b3113
tdcE,+,b3114
tdcD,+,b3115
tdcC,+,b3116
tdcB,+,b3117
tdcA,+,b3118
tnaC,+,b3707
tnaA,+,b3708
tnaB,+,b3709
treC,+,b4239
treB,+,b4240
treC,+,b4239
treB,+,b4240
trg,+,b1421
trxA,-,b3781
tsx,+,b0411
tsx,-,b0411
tsx,-,b0411
tsx,+,b0411
ubiG,+,b2232
udp,+,b3831
udp,-,b3831
udp,+,b3831
ugpQ,+,b3449
ugpC,+,b3450
ugpE,+,b3451
ugpA,+,b3452
ugpB,+,b3453
uhpU,+,b4829
uhpT,+,b3666
uidC,+,b1615
uidB,+,b1616
uidA,+,b1617
ulaF,+,b4198
ulaE,+,b4197
ulaD,+,b4196
ulaC,+,b4195
ulaB,+,b4194
ulaA,+,b4193
uxaB,+,b1521
uxaA,+,b3091
uxaC,+,b3092
uxuB,+,b4323
uxuA,+,b4322
uxuB,+,b4323
uxuA,+,b4322
uxuR,+,b4324
xseA,-,b2509
xylB,+,b3564
xylA,+,b3565
xylE,+,b4031
xylF,+,b3566
xylG,+,b3567
xylH,+,b3568
xylR,+,b3569
yaeP,-,b4406
rof,-,b0189
nlpE,-,b0192
arfB,-,b0191
yaeQ,-,b0190
ybiT,+,b0820
ybiT,-,b0820
ycdZ,+,b1036
ycdZ,+,b1036
ycdZ,-,b1036
ycdZ,-,b1036
ychH,+,b1205
yeiP,+,b2171
yeiW,+,b4502
yhfA,-,b3356
yhfA,+,b3356
yiaM,,b3577
sgbE,,b3583
sgbU,,b3582
sgbH,,b3581
lyxK,,b3580
yiaO,,b3579
yiaN,,b3578
yiaL,,b3576
yiaK,,b3575
yiaM,+,b3577
sgbE,+,b3583
sgbU,+,b3582
sgbH,+,b3581
lyxK,+,b3580
yiaO,+,b3579
yiaN,+,b3578
yiaL,+,b3576
yiaK,+,b3575
yjhI,+,b4299
yjhH,+,b4298
yjhG,+,b4297
btsT,+,b4354
ykgR,+,b4671
ytfK,+,b4217
zraR,+,b4004
zraS,+,b4003
